0,31
1,33
2,35
3,37
4,39
5,41
6,43
7,45
8,47
9,49
10,51
11,53
12,55
13,57
14,59
15,61
16,63
17,65
18,67
19,69
20,71
21,73
22,75
23,77
24,79
25,81
26,83
27,85
28,87
29,89
30,91
31,93
32,95
33,97
34,99
35,101
36,103
37,105
38,107
39,109
40,111
41,113
42,115
43,117
44,119
45,121
46,123
47,125
48,127
49,129
50,131
51,133
52,135
53,137
54,139
55,141
56,143
57,145
58,147
59,149
60,151
61,153
62,155
63,157
64,159
65,161
66,163
67,165
68,167
69,169
70,171
71,173
72,175
73,177
74,179
75,181
76,183
77,185
78,187
79,189
80,191
81,193
82,195
83,197
84,199
85,201
86,203
87,205
88,207
89,209
90,211
91,213
92,215
93,217
94,219
95,221
96,223
97,225
98,227
99,229
