0,33
1,34.5
2,36
3,37.5
4,39
5,40.5
6,42
7,43.5
8,45
9,46.5
10,48
11,49.5
12,51
13,52.5
14,54
15,55.5
16,57
17,58.5
18,60
19,61.5
20,63
21,64.5
22,66
23,67.5
24,69
25,70.5
26,72
27,73.5
28,75
29,76.5
30,78
31,79.5
32,81
33,82.5
34,84
35,85.5
36,87
37,88.5
38,90
39,91.5
40,93
41,94.5
42,96
43,97.5
44,99
45,100.5
46,102
47,103.5
48,105
49,106.5
50,108
51,109.5
52,111
53,112.5
54,114
55,115.5
56,117
57,118.5
58,120
59,121.5
60,123
61,124.5
62,126
63,127.5
64,129
65,130.5
66,132
67,133.5
68,135
69,136.5
70,138
71,139.5
72,141
73,142.5
74,144
75,145.5
76,147
77,148.5
78,150
79,151.5
80,153
81,154.5
82,156
83,157.5
84,159
85,160.5
86,162
87,163.5
88,165
89,166.5
90,168
91,169.5
92,171
93,172.5
94,174
95,175.5
96,177
97,178.5
98,180
99,181.5
